"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06025";"PORTO GRANDE";30002008300;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO";"25000,00";"18/09/2024";"10:02:41"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06025";"PORTO GRANDE";30002008304;1;12;"Casa";"RESIDÊNCIA";"60000,00";"18/09/2024";"10:02:41"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06025";"PORTO GRANDE";30002008304;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO COROLLA XEI 2013-2014";"50000,00";"18/09/2024";"10:02:41"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06157";"SANTANA";30002014970;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UM VEICULO DE MARCA/MODELO VW UP, ANO/MODLEO 14/15";"30000,00";"18/09/2024";"11:35:27"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06157";"SANTANA";30002014970;2;12;"Casa";"UMA CASA EM ALVENARIA";"400000,00";"18/09/2024";"11:35:27"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06157";"SANTANA";30002014970;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"UM VEICULO NO MODELO HYUNDAY/CRETA PRESTIGE, ANO/MODELO 20/21";"100000,00";"18/09/2024";"11:35:27"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06130";"LARANJAL DO JARI";30002019424;2;12;"Casa";"ALVENARIA";"30000,00";"17/09/2024";"09:55:44"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06106";"SERRA DO NAVIO";30002015402;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CARRO TIPO CLASSIC 1.0";"15000,00";"18/09/2024";"09:26:05"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06130";"LARANJAL DO JARI";30002019423;1;12;"Casa";"ALVENARIA";"50000,00";"17/09/2024";"09:55:44"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06130";"LARANJAL DO JARI";30002019423;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FIAT-ARGOR COR BRANCO-PLACA RMW1H72";"60000,00";"17/09/2024";"09:55:44"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06130";"LARANJAL DO JARI";30002019424;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO HONDA BIZ 125 ES. ANO 2006/2006 PLACA NEX2949";"7000,00";"17/09/2024";"09:55:44"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06130";"LARANJAL DO JARI";30002019425;1;12;"Casa";"ALVENARIA";"150000,00";"17/09/2024";"09:55:44"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06130";"LARANJAL DO JARI";30002019427;1;12;"Casa";"ALVENARIA";"150000,00";"17/09/2024";"09:55:44"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06130";"LARANJAL DO JARI";30002019428;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEICULO MARCA FIAT/ARGO DRIVE 1.0 COR BRANCA QLT4D92-ANO 2021";"80000,00";"17/09/2024";"09:55:44"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06130";"LARANJAL DO JARI";30002019428;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO MARCA YAMAHA/T115-CRYPTON ED, COR PRATA";"3000,00";"17/09/2024";"09:55:44"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06130";"LARANJAL DO JARI";30002019429;1;12;"Casa";"ALVENARIA EDIFICADA";"180000,00";"17/09/2024";"09:55:44"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06130";"LARANJAL DO JARI";30002019429;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FIAT TORO ANO 2018 EM 48 PARCELAS R$ 2.544,00 FALTANDO APENAS 8 PARCELAS PARA QUITAR";"122112,00";"17/09/2024";"09:55:44"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06130";"LARANJAL DO JARI";30002019429;4;12;"Casa";"MADEIRA  NO RAMAL ARAPIRANGA";"22000,00";"17/09/2024";"09:55:44"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06130";"LARANJAL DO JARI";30002019430;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"RENEGADE 22/22";"130000,00";"17/09/2024";"09:55:44"
